indicator_id,指标体系,指标名称,单位,方向,运算符,目标/基准值,适用条件,计算公式,年份要求,空间边界要求,证据最低等级,指标属性,来源,来源URL,可用于排名,文献权重
GD-I17,广东省20项,规上企业开展清洁生产审核数量占比,%,正向,=,100,适用审核企业,audited_enterprise_count / applicable_above_scale_enterprises * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I18,广东省20项,重点用能单位节能降碳改造比例,%,正向,≥,50,重点用能单位,retrofitted_key_energy_units / key_energy_units * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I19,广东省20项,开展产品碳足迹核算评价或标识认证企业覆盖率,%,正向,≥,80,规上/重点企业口径需方案定义,qualified_enterprise_count / applicable_enterprise_count * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I20,广东省20项,规上企业环境信息披露率,%,正向,≥,80,规上企业,disclosed_above_scale_enterprises / above_scale_enterprises * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
RES-I01,研究对标（2019长三角39园区）,高新技术产业总产值占园区工业总产值比例,%,正向,研究均值,47.55,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.099
RES-I02,研究对标（2019长三角39园区）,园区工业增加值年均增长率,%,正向,研究均值,文献未给出公开均值,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.066
RES-I03,研究对标（2019长三角39园区）,人均工业增加值,万元/人,正向,研究均值,41.37,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.183
RES-I04,研究对标（2019长三角39园区）,单位工业用地面积工业增加值,亿元/km²,正向,研究均值,25.38,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.272
RES-I05,研究对标（2019长三角39园区）,单位工业增加值废水排放量,t/万元,逆向,研究均值,3.72,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.021
RES-I06,研究对标（2019长三角39园区）,单位工业增加值固废产生量,t/万元,逆向,研究均值,0.09,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.03
RES-I07,研究对标（2019长三角39园区）,单位工业增加值COD排放量,kg/万元,逆向,研究均值,0.78,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.039
RES-I08,研究对标（2019长三角39园区）,单位工业增加值氨氮排放量,kg/万元,逆向,研究均值,0.04,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.064
RES-I09,研究对标（2019长三角39园区）,单位工业增加值SO2排放量,kg/万元,逆向,研究均值,0.64,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.053
RES-I10,研究对标（2019长三角39园区）,单位工业增加值NOx排放量,kg/万元,逆向,研究均值,1.3,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.049
RES-I11,研究对标（2019长三角39园区）,单位工业增加值综合能耗,tce/万元,逆向,研究均值,0.31,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.017
RES-I12,研究对标（2019长三角39园区）,单位工业增加值CO2排放量,t/万元,逆向,研究均值,0.86,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.019
RES-I13,研究对标（2019长三角39园区）,工业固废综合利用率,%,正向,研究均值,90.47,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.065
RES-I14,研究对标（2019长三角39园区）,单位工业增加值综合新鲜水耗,m³/万元,逆向,研究均值,6.77,仅作为2019年长三角国家生态工业示范园区研究参照,见论文表2,2019,论文样本园区口径,公开论文,研究基准，非政策目标,陈梅等，长三角生态工业园区绿色低碳发展评价，2024,https://doi.org/10.15985/j.cnki.1001-3865.2024.03.010,不得与2025—2030零碳园区直接排名；可做历史参照,0.023
